Index,Lake,Number of Results
1,Lake Superior,
2,Lake Huron,
3,Lake Michigan,
4,Lake Erie,
5,Lake Ontario,
6,Lake of the Woods,
7,Iliamna Lake,
8,Great Salt Lake,
9,Lake Oahe,
10,Lake Okeechobee,
11,Lake Pontchartrain,
12,Lake Sakakawea,
13,Lake Champlain,
14,Becharof Lake,
15,Lake St. Clair,
16,Red Lake,
17,Selawik Lake,
18,Fort Peck Lake,
19,Salton Sea,
20,Rainy Lake,
21,Teshekpuk Lake,
22,Devils Lake,
23,Toledo Bend Reservoir,
24,Lake Powell,
25,Kentucky Lake,
26,Lake Mead,
27,Naknek Lake,
28,Lake Winnebago,
29,Mille Lacs Lake,
30,Flathead Lake,
31,Lake Tahoe,
32,Pyramid Lake,
33,Sam Rayburn Reservoir,
34,Eufaula Lake,
35,Lake Marion,
36,Leech Lake,
37,Utah Lake,
38,Lake Francis Case,
39,Lake Pend Oreille,
40,Lake Texoma,
41,Yellowstone Lake,
42,Falcon Lake,
43,Lake Livingston,
44,Franklin D. Roosevelt Lake,
45,Lake Clark,
46,Moosehead Lake,
47,Lake Strom Thurmond,
48,Bear Lake,
49,Lake Guntersville,
50,Lake St. Francis,
51,Wheeler Lake,
52,Amistad Lake,
53,Klamath Lake,
54,Tustumena Lake,
55,Lake Moultrie,
56,Lake Winnibigoshish,
57,Lake Barkley,
58,Lake Sharpe,
59,American Falls Reservoir,
60,Lake Hartwell,
61,Truman Reservoir,
62,Lake of the Ozarks,
63,Oneida Lake,
64,Lake Cumberland,
65,Kerr Lake,
66,Calcasieu Lake,
67,Lake Murray,
68,Grand Lake * the Cherokees,
69,Lake Koocanusa,
70,Lake George,
71,Lake Winnipesaukee,
72,Bull Shoals Lake,
73,Walter F. George Lake,
74,Lake Martin,
75,Clear Lake,
76,Robert S. Kerr Lake,
77,Seneca Lake,
78,Pickwick Lake,
79,Table Rock Lake,
80,Cayuga Lake,
81,Flaming Gorge Reservoir,
82,Richland-Chambers Reservoir,
83,Lake Vermilion,
84,Lake Ouachita,
85,Lake Mattamuskeet,
86,Watts Bar Lake,
87,Lake Wallula,
88,Lake Lanier,
89,Lake Tawakoni,
90,Elephant Butte Lake,
91,Chickamauga Lake,
92,Grenada Lake,
93,Lake Kissimmee,
94,Lake Dardanelle,
95,Norris Lake,
96,Canyon Ferry Lake,
97,Lake Chelan,
98,Cedar Creek Lake,
99,Lake Norman,
100,Sardis Lake,
