Index,Lake,"Number of Results, (""Benthic+flux""+""Algae+bloom"")"
1,Lake Superior,4
2,Lake Huron,3
3,Lake Michigan,7
4,Lake Erie,82
5,Lake Ontario,17
6,Lake of the Woods,0
7,Iliamna Lake,0
8,Great Salt Lake,2
9,Lake Oahe,0
10,Lake Okeechobee,7
11,Lake Pontchartrain,1
12,Lake Sakakawea,0
13,Lake Champlain,3
14,Becharof Lake,0
15,Lake St. Clair,2
16,Red Lake,0
17,Selawik Lake,0
18,Fort Peck Lake,0
19,Salton Sea,2
20,Rainy Lake,0
21,Teshekpuk Lake,0
22,Devils Lake,2
23,Toledo Bend Reservoir,0
24,Lake Powell,0
25,Kentucky Lake,0
26,Lake Mead,1
27,Naknek Lake,0
28,Lake Winnebago,0
29,Mille Lacs Lake,0
30,Flathead Lake,1
31,Lake Tahoe,4
32,Pyramid Lake,0
33,Sam Rayburn Reservoir,0
34,Eufaula Lake,0
35,Lake Marion,1
36,Leech Lake,0
37,Utah Lake,1
38,Lake Francis Case,0
39,Lake Pend Oreille,0
40,Lake Texoma,1
41,Yellowstone Lake,0
42,Falcon Lake,0
43,Lake Livingston,0
44,Franklin D. Roosevelt Lake,1
45,Lake Clark,1
46,Moosehead Lake,0
47,Lake Strom Thurmond,0
48,Bear Lake,0
49,Lake Guntersville,0
50,Lake St. Francis,0
51,Wheeler Lake,0
52,Amistad Lake,0
53,Klamath Lake,5
54,Tustumena Lake,0
55,Lake Moultrie,0
56,Lake Winnibigoshish,0
57,Lake Barkley,0
58,Lake Sharpe,0
59,American Falls Reservoir,0
60,Lake Hartwell,1
61,Truman Reservoir,0
62,Lake of the Ozarks,0
63,Oneida Lake,0
64,Lake Cumberland,0
65,Kerr Lake,0
66,Calcasieu Lake,0
67,Lake Murray,0
68,Grand Lake * the Cherokees,1
69,Lake Koocanusa,0
70,Lake George,1
71,Lake Winnipesaukee,0
72,Bull Shoals Lake,0
73,Walter F. George Lake,0
74,Lake Martin,0
75,Clear Lake,5
76,Robert S. Kerr Lake,0
77,Seneca Lake,0
78,Pickwick Lake,0
79,Table Rock Lake,0
80,Cayuga Lake,0
81,Flaming Gorge Reservoir,0
82,Richland-Chambers Reservoir,0
83,Lake Vermilion,0
84,Lake Ouachita,0
85,Lake Mattamuskeet,0
86,Watts Bar Lake,0
87,Lake Wallula,0
88,Lake Lanier,0
89,Lake Tawakoni,0
90,Elephant Butte Lake,0
91,Chickamauga Lake,0
92,Grenada Lake,0
93,Lake Kissimmee,0
94,Lake Dardanelle,0
95,Norris Lake,0
96,Canyon Ferry Lake,0
97,Lake Chelan,0
98,Cedar Creek Lake,0
99,Lake Norman,0
100,Sardis Lake,0
